Cod Empresa;Cod Item;Descricao;Qtde;C Cst Ctbil;F Cst For;Cst Cbil For;Pven Ic;Pven For;M1;M2;M3;M4;M5;M6;Curva;Ultima Compra;Ultima Venda;Pedido;Curva Portal;Locacao;Nome Fornecedor;Possui Pis;Possui Cofins;Status;Forn;Aplicacao
9;09599297;PORCA DAS RODAS M12X1.5-6MM;47;11,77;11,80;11,77;24,79;24,79;50;27;42;7;20;1;A;14/07/2026;27/07/2026;CVA170;A;110PD1;GM - Brasil;Sim;Sim;Ativo;1;BOLT EV - 2017 A 2020, ONIX - 2020 A 2021, TRACKER - 2021 A 2021
9;09986555;FLUIDO-TR/AUT;1;151,56;127,14;151,56;320,87;320,87;64;29;48;105;29;16;A;30/07/2026;30/07/2026;NF PIOXI/TUDO;A;156PB1;GM - Brasil;Sim;Sim;Ativo;1;
9;11010612;CHAVETA;19;12,34;12,35;16,98;25,95;25,95;1;15;5;2;1;3;A;08/07/2026;21/07/2026;CVA160;A;107CH1;GM - Brasil;Sim;Sim;Ativo;1;ASTRA A - 1995 A 1996, ASTRA B - 1999 A 2011, BLAZER - 1996 A 2011, KADETT - 1989 A 1998, MONZA - 1982 A 1996, OMEGA A - 1993 A 1998, S10 A - 1995 A 2011, S10 B - 2012 A 2020, TRAILBLAZER - 2013 A 2020, VECTRA A - 1994 A 1996, VECTRA B - 1997 A 2005, VECTRA C - 2006 A 2011, ZAFIRA - 2001 A 2012
9;11013071;REBITE PINO BOTAO PRESILHA GRAMPO;2;3,19;0,86;4,33;5,15;5,15;0;0;0;0;0;0;D;22/01/2025;10/11/2025;ZZ0144;D;109AH1;GM - Brasil;Sim;Sim;Ativo;1;AGILE - 2010 A 2014, ASTRA B - 1999 A 2011, CELTA - 2001 A 2016, CORSA A - 1994 A 2017, CORSA B - 2002 A 2012, KADETT - 1989 A 1998, MERIVA - 2002 A 2012, MONTANA A - 2004 A 2011, MONZA - 1982 A 1996, PRISMA A - 2007 A 2012, VECTRA B - 1997 A 2005, VECTRA C - 2006 A 2011, ZAFIRA - 2001 A 2012
9;11023582;ANEL VEDADOR BUJÃO DO CÁRTER;15;0,53;0,53;0,72;6,57;6,57;7;4;3;4;15;0;A;05/06/2026;31/07/2026;MAL53;A;113AC1;GM - Brasil;Sim;Sim;Ativo;1;Monza 87/96, Kadett 89/98, Astra 95/, Vectra 94/, S10 95/ S10 CAB SIMPLES S10 CAB ESTEND S10 CAB DUPLA BLAZER
9;11023589;ANEL VEDADOR BUJÃO CÁRTER 20MM;30;3,01;4,41;4,78;9,07;9,07;16;17;16;14;21;22;A;05/06/2026;31/07/2026;MAL53;A;107TJ1;GM - Brasil;Sim;Sim;Ativo;1;ASTRA B - 1999 A 2011, BLAZER - 1996 A 2011, CELTA - 2001 A 2016, CHEVETTE - 1973 A 1994, CORSA A - 1994 A 2017, CORSA PICK-UP - 1994 A 2017, CORSA WAGON - 1994 A 2017, KADETT - 1989 A 1998, MONZA - 1982 A 1996, OMEGA A - 1993 A 1998, OMEGA B - 1999 A 2009, PRISMA A - 2007 A 2012, S10 A - 1995 A 2011, VECTRA A - 1994 A 1996, VECTRA B - 1997 A 2005, VECTRA C - 2006 A 2011, ZAFIRA - 2001 A 2012
9;11056093;SELO BLOCO MOTOR 34MM;901;4,28;4,49;4,28;13,12;13,12;275;609;366;228;293;449;A;29/07/2026;31/07/2026;JLL11;A;111GD1;GM - Brasil;Não;Não;Ativo;1;AGILE - 2010 A 2014, ASTRA A - 1995 A 1996, ASTRA B - 1999 A 2011, BLAZER - 1996 A 2011, CALIBRA - 1994 A 1995, CELTA - 2001 A 2016, CHEVETTE - 1973 A 1994, COBALT - 2012 A 2020, CORSA A - 1994 A 2017, CORSA B - 2002 A 2012, CORSA PICK-UP - 1994 A 2017, CORSA WAGON - 1994 A 2017, CRUZE A  - 2012 A 2016, KADETT - 1989 A 1998, MERIVA - 2002 A 2012, MONTANA A - 2004 A 2011, MONTANA B - 2011 A 2020, MONZA - 1982 A 1996, OMEGA A - 1993 A 1998, ONIX - 2013 A 2019, PRISMA A - 2007 A 2012, PRISMA B - 2013 A 2019, S10 A - 1995 A 2011, S10 B - 2012 A 2020, SONIC - 2012 A 2014, TIGRA - 1998 A 2000, TRACKER B - 2014 A 2019, TRAILBLAZER - 2013 A 2020, VECTRA A - 1994 A 1996, VECTRA B - 1997 A 2005, VECTRA C - 2006 A 2011, ZAFIRA - 2001 A 2012
9;11096251;LAMPADA DO FAROL BAIXO HALOGENA;26;27,23;30,86;27,78;54,14;54,14;12;10;17;15;17;15;A;26/06/2026;29/07/2026;COPA34;A;144PC1;GM - Brasil;Sim;Sim;Ativo;1;AGILE - 2010 A 2014, ASTRA B - 1999 A 2011, BLAZER - 1996 A 2011, COBALT - 2012 A 2020, CORSA B - 2002 A 2012, MERIVA - 2002 A 2012, MONTANA B - 2011 A 2020, S10 A - 1995 A 2011, S10 B - 2012 A 2020, TRAILBLAZER - 2013 A 2020, VECTRA B - 1997 A 2005, ZAFIRA - 2001 A 2012
9;11097592;PORCA ROSCADA DE ACO;9;1,21;1,21;1,21;0,01;0,01;0;0;0;0;0;0;D;22/04/2025;10/05/2025;DD0446;D;105CG1;GM - Brasil;Sim;Sim;Ativo;1;
9;1140100021;JG. TAPETE BORDAS ELEVADAS S10;2;404,03;404,03;404,03;;850,00;0;0;0;0;0;0;D;18/09/2024;29/10/2024;TAPETES KITO;D;VITRINE;Outros;Sim;Sim;Ativo;2;
